Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-221;    Herstellung von Gummiwaren;781;15432;4310;244;.;.;-;.;676;.;.;.;.;.;.;.;-
WZ08-2211;      Herstellung und Runderneuerung von Bereifungen;239;6282;2680;69;.;.;-;.;239;.;.;.;.;.;.;.;-
WZ08-2219;      Herstellung von sonstigen Gummiwaren;542;9150;1629;176;.;.;-;.;437;.;.;.;.;.;.;.;-
WZ08-222;    Herstellung von Kunststoffwaren;6264;53037;7423;854;.;.;-;.;3302;.;.;.;.;.;.;.;-
WZ08-2221;      H.v. Platten, Folien usw aus Kunststoffen;1105;18051;2851;200;.;.;-;.;1039;.;.;.;.;.;.;.;-
WZ08-2222;      H.v. Verpackungsmitteln aus Kunststoffen;629;8153;615;131;.;.;-;.;620;.;.;.;.;.;.;.;-
WZ08-2223;      H.v. Baubedarfsartikeln aus Kunststoffen;1328;7312;2104;91;.;.;-;.;452;.;.;.;.;.;.;.;-
WZ08-2229;      Herstellung von sonstigen Kunststoffwaren;3202;19520;1853;431;.;.;-;.;1191;.;.;.;.;.;.;.;-
WZ08-23;  H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;9688;33762;4861;524;.;.;-;.;2757;.;.;.;.;.;.;.;-
WZ08-231;    Herstellung von Glas und Glaswaren;1207;8090;925;153;.;.;-;.;691;.;.;.;.;.;.;.;-
WZ08-2311;      Herstellung von Flachglas;45;.;.;.;.;.;-;.;63;.;.;.;.;.;.;.;-
WZ08-2312;      Veredlung und Bearbeitung von Flachglas;507;2758;218;68;.;.;-;.;191;.;.;.;.;.;.;.;-
WZ08-2313;      Herstellung von Hohlglas;161;2113;285;39;.;.;-;.;228;.;.;.;.;.;.;.;-
WZ08-2314;      Herstellung von Glasfasern und Waren daraus;75;1123;206;15;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-2319;      H.,Veredlg.u.Bearb.v.sonst.Glas, techn.Glaswaren;419;.;.;.;.;.;-;.;141;.;.;.;.;.;.;.;-
WZ08-232;    H.v. feuerfesten keramischen Werkstoffen und Waren;96;1293;192;14;.;.;-;.;49;.;.;.;.;.;.;.;-
WZ08-233;    Herstellung von keramischen Baumaterialien;232;1881;304;31;.;.;-;.;162;.;.;.;.;.;.;.;-
WZ08-2331;      H.v. keramischen Wand- u.Bodenfliesen u.-platten;92;581;129;7;.;.;-;.;32;.;.;.;.;.;.;.;-
WZ08-2332;      Herstellung von Ziegeln und sonstiger Baukeramik;140;1300;175;24;.;.;-;.;130;.;.;.;.;.;.;.;-
WZ08-234;    H.v. sonst. Porzellan- u. keramischen Erzeugnissen;860;1789;578;22;.;.;-;.;192;.;.;.;.;.;.;.;-
WZ08-2341;      H.v. keramischen Haushaltswaren u.Ziergegenständen;587;223;27;.;.;.;-;.;17;.;.;.;.;.;.;.;-
WZ08-2342;      Herstellung von Sanitärkeramik;52;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-2343;      H.v. Isolatoren und Isolierteilen aus Keramik;12;.;.;.;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-2344;      H.v. keramischen Erzeugnissen f.sonst.techn.Zwecke;81;721;189;17;.;.;-;.;128;.;.;.;.;.;.;.;-
WZ08-2349;      Herstellung von sonstigen keramischen Erzeugnissen;128;143;28;2;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-235;    Herstellung von Zement, Kalk und gebranntem Gips;43;3378;362;24;.;.;-;.;425;.;.;.;.;.;.;.;-
WZ08-2351;      Herstellung von Zement;19;2665;294;21;.;.;-;.;358;.;.;.;.;.;.;.;-
WZ08-2352;      Herstellung von Kalk und gebranntem Gips;24;712;68;3;.;.;-;.;67;.;.;.;.;.;.;.;-
WZ08-236;    H.v. Erzeugnissen aus Beton, Zement und Gips;1818;11007;1496;198;.;.;-;.;788;.;.;.;.;.;.;.;-
WZ08-2361;      H.v. Erzeugn. aus Beton, Zement u. Kalksandstein;1138;6145;683;147;.;.;-;.;462;.;.;.;.;.;.;.;-
WZ08-2362;      Herstellung von Gipserzeugnissen für den Bau;32;.;.;.;.;.;-;.;54;.;.;.;.;.;.;.;-
WZ08-2363;      Herstellung von Frischbeton (Transportbeton);344;2030;133;16;.;.;-;.;182;.;.;.;.;.;.;.;-
WZ08-2364;      Herstellung von Mörtel u.a. Beton (Trockenbeton);115;998;185;8;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-2365;      Herstellung von Faserzementwaren;22;.;.;.;.;.;-;.;13;.;.;.;.;.;.;.;-
WZ08-2369;      H.v. sonst. Erzeugnissen aus Beton, Zement u.Gips;167;722;178;11;.;.;-;.;27;.;.;.;.;.;.;.;-
WZ08-237;    Be- u. Verarb. v. Naturwerk- u.Natursteinen a.n.g.;5054;1032;34;19;.;.;-;.;122;.;.;.;.;.;.;.;-
WZ08-239;    H.v. sonst. Erzeugn. aus nichtmetall. Mineralien;378;5291;971;65;.;.;-;.;328;.;.;.;.;.;.;.;-
WZ08-2391;      H.v. Schleifkörpern u.Schleifmitteln auf Unterlage;119;819;220;12;.;.;-;.;42;.;.;.;.;.;.;.;-
WZ08-2399;      H.v. sonst.Erzeugn. aus nichtmetall.Mineralien ang;259;4472;751;53;.;.;-;.;286;.;.;.;.;.;.;.;-
WZ08-24;  Metallerzeugung und -bearbeitung;2429;98844;10824;666;.;.;-;.;3049;.;.;.;.;.;.;.;-
WZ08-241;    Erzeugung von Roheisen, Stahl und Ferrolegierungen;502;33136;547;145;.;.;-;.;1139;.;.;.;.;.;.;.;-
WZ08-242;    H.v. Stahlrohren und Rohrstücken aus Stahl;319;5512;233;87;.;.;-;.;212;.;.;.;.;.;.;.;-
WZ08-243;    Sonstige erste Bearbeitung von Eisen und Stahl;239;5589;438;43;.;.;-;.;228;.;.;.;.;.;.;.;-
WZ08-2431;      Herstellung von Blankstahl;42;581;36;7;.;.;-;.;14;.;.;.;.;.;.;.;-
WZ08-2432;      Herstellung von Kaltband unter 600 mm Breite;32;2301;215;8;.;.;-;.;121;.;.;.;.;.;.;.;-
WZ08-2433;      Herstellung von Kaltprofilen;112;1312;64;16;.;.;-;.;58;.;.;.;.;.;.;.;-
WZ08-2434;      Herstellung von kaltgezogenem Draht;54;1394;124;12;.;.;-;.;34;.;.;.;.;.;.;.;-
WZ08-244;    Erzeugung und erste Bearb. von NE-Metallen;696;42804;8787;133;.;.;-;.;831;.;.;.;.;.;.;.;-
WZ08-2441;      Erzeugung und erste Bearb. von Edelmetallen;135;.;.;.;.;.;-;.;52;.;.;.;.;.;.;.;-
WZ08-2442;      Erzeugung und erste Bearb. von Aluminium;195;.;.;.;.;.;-;.;414;.;.;.;.;.;.;.;-
WZ08-2443;      Erzeugung und erste Bearb. von Blei,Zink u.Zinn;40;1722;260;9;.;.;-;.;47;.;.;.;.;.;.;.;-
WZ08-2444;      Erzeugung und erste Bearb. von Kupfer;51;14890;1098;28;.;.;-;.;216;.;.;.;.;.;.;.;-
WZ08-2445;      Erzeugung und erste Bearb. von sonst. NE-Metallen;275;1007;47;6;.;.;-;.;102;.;.;.;.;.;.;.;-
WZ08-2446;      Aufbereitung von Kernbrennstoffen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-245;    Gießereien;673;11803;819;258;.;.;-;.;640;.;.;.;.;.;.;.;-
WZ08-2451;      Eisengießereien;212;5157;287;140;.;.;-;.;228;.;.;.;.;.;.;.;-
WZ08-2452;      Stahlgießereien;67;1237;143;23;.;.;-;.;56;.;.;.;.;.;.;.;-
WZ08-2453;      Leichtmetallgießereien;303;4677;343;87;.;.;-;.;325;.;.;.;.;.;.;.;-
WZ08-2454;      Buntmetallgießereien;91;732;46;9;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-25;  Herstellung von Metallerzeugnissen;42742;96286;11270;2223;.;.;-;.;6316;.;.;.;.;.;.;.;-
WZ08-251;    Stahl- und Leichtmetallbau;11962;18417;1117;434;.;.;-;.;913;.;.;.;.;.;.;.;-
WZ08-2511;      Herstellung von Metallkonstruktionen;8811;14359;942;368;.;.;-;.;708;.;.;.;.;.;.;.;-
WZ08-2512;      Herstellung von Ausbauelementen aus Metall;3151;4058;176;66;.;.;-;.;204;.;.;.;.;.;.;.;-
WZ08-252;    H.v. Metalltanks, Heizkörpern und -kesseln;521;4787;1651;72;.;.;-;.;206;.;.;.;.;.;.;.;-
WZ08-2521;      H.v. Heizkörpern, -kesseln für Zentralheizungen;92;3274;1577;31;.;.;-;.;163;.;.;.;.;.;.;.;-
WZ08-2529;      H.v. Tanks, Sammel- u.ä. Metallbehältern;429;1513;74;41;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-253;    H.v. Dampfkesseln (ohne Zentralheizungskessel);71;531;46;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-254;    Herstellung von Waffen und Munition;207;2440;282;.;.;.;-;.;93;.;.;.;.;.;.;.;-
WZ08-255;    H.v. Schmiede-, Press-, Zieh-, Stanzteilen u.Ä.;1418;16908;1269;452;.;.;-;.;1097;.;.;.;.;.;.;.;-
WZ08-256;    Oberflächenveredlung,Wärmebehandlung,Mechanik ang;20184;18750;1331;599;.;.;-;.;1944;.;.;.;.;.;.;.;-
WZ08-2561;      Oberflächenveredlung und Wärmebehandlung;3246;6703;636;326;.;.;-;.;532;.;.;.;.;.;.;.;-
WZ08-2562;      Mechanik a.n.g.;16937;12047;694;273;.;.;-;.;1412;.;.;.;.;.;.;.;-
WZ08-257;    H.v.Schneidwaren,Werkzeug.,Schlössern u.Beschlägen;3971;15823;2239;269;.;.;-;.;1088;.;.;.;.;.;.;.;-
WZ08-2571;      H.v. Schneidwaren u.Bestecken aus unedlen Metallen;252;775;177;9;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-2572;      H.v. Schlössern u.Beschlägen aus unedlen Metallen;825;5725;779;125;.;.;-;.;330;.;.;.;.;.;.;.;-
WZ08-2573;      Herstellung von Werkzeugen;2894;9323;1283;134;.;.;-;.;721;.;.;.;.;.;.;.;-
WZ08-259;    Herstellung von sonstigen Metallwaren;4407;18630;3335;350;.;.;-;.;952;.;.;.;.;.;.;.;-
WZ08-2591;      H.v. Fässern,Trommeln,Dosen,Eimern u.ä. aus Metall;180;561;29;12;.;.;-;.;17;.;.;.;.;.;.;.;-
WZ08-2592;      H.v. Verpackungen und Verschlüssen aus Metall;131;2096;783;20;.;.;-;.;80;.;.;.;.;.;.;.;-
WZ08-2593;      Herstellung von Drahtwaren, Ketten und Federn;538;4752;812;95;.;.;-;.;245;.;.;.;.;.;.;.;-
WZ08-2594;      Herstellung von Schrauben und Nieten;346;3116;427;52;.;.;-;.;215;.;.;.;.;.;.;.;-
WZ08-2599;      Herstellung von sonstigen Metallwaren a.n.g.;3213;8104;1283;170;.;.;-;.;395;.;.;.;.;.;.;.;-
WZ08-26;  H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;7720;64083;13486;868;.;.;-;.;3762;.;.;.;.;.;.;.;-
WZ08-261;    H.v. elektronischen Bauelementen und Leiterplatten;1914;19807;7768;242;.;.;-;.;1462;.;.;.;.;.;.;.;-
WZ08-2611;      Herstellung von elektronischen Bauelementen;1624;18658;7645;216;.;.;-;.;1438;.;.;.;.;.;.;.;-
WZ08-2612;      Herstellung von bestückten Leiterplatten;290;1149;123;26;.;.;-;.;24;.;.;.;.;.;.;.;-
WZ08-262;    H.v. DV-Geräten und peripheren Geräten;1139;4064;659;38;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-263;    H.v. Geräten u. Einr. d. Telekommunikationstechnik;820;3890;826;40;.;.;-;.;171;.;.;.;.;.;.;.;-
WZ08-264;    H.v. Geräten der Unterhaltungselektronik;306;3089;275;20;.;.;-;.;89;.;.;.;.;.;.;.;-
WZ08-265;    H.v. Mess-, Kontroll-, Navig.-u.ä. Instr., Uhren;2560;25441;3329;438;.;.;-;.;1520;.;.;.;.;.;.;.;-
WZ08-2651;      H.v. Mess-, Kontroll-, Navig.-u.ä. Instr. u.Vorr.;2411;25121;3289;437;.;.;-;.;1507;.;.;.;.;.;.;.;-
WZ08-2652;      Herstellung von Uhren;149;319;40;1;.;.;-;.;13;.;.;.;.;.;.;.;-
WZ08-266;    H.v. Bestrahlungs- u.a. elektromed. Geräten;282;3092;256;30;.;.;-;.;81;.;.;.;.;.;.;.;-
WZ08-267;    H.v. optischen und fotografischen Geräten;604;4671;372;60;.;.;-;.;369;.;.;.;.;.;.;.;-
WZ08-268;    H.v. magnetischen und optischen Datenträgern;96;29;1;0;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-27;  Herstellung von elektrischen Ausrüstungen;5916;88034;23676;1051;.;.;-;.;3635;.;.;.;.;.;.;.;-
WZ08-271;    H.v. Elektromot.,Generatoren,Transformatoren usw;2154;28998;6908;485;.;.;-;.;1223;.;.;.;.;.;.;.;-
WZ08-2711;      H.v. Elektromotoren,Generatoren,Transformatoren;929;11404;3148;178;.;.;-;.;491;.;.;.;.;.;.;.;-
WZ08-2712;      H.v. Elektriz.verteilungs- u. -schalteinrichtungen;1225;17594;3761;307;.;.;-;.;732;.;.;.;.;.;.;.;-
WZ08-272;    Herstellung von Batterien und Akkumulatoren;82;3069;1090;41;.;.;-;.;129;.;.;.;.;.;.;.;-
WZ08-273;    H.v. Kabeln und elektrischem Installationsmaterial;1056;13767;2539;215;.;.;-;.;710;.;.;.;.;.;.;.;-
WZ08-2731;      Herstellung von Glasfaserkabeln;30;168;29;0;.;.;-;.;7;.;.;.;.;.;.;.;-
WZ08-2732;      H.v. sonst. elektron.u.elektr. Drähten u. Kabeln;369;5307;602;44;.;.;-;.;171;.;.;.;.;.;.;.;-
WZ08-2733;      Herstellung von elektrischem Installationsmaterial;657;8292;1907;170;.;.;-;.;533;.;.;.;.;.;.;.;-
WZ08-274;    Herstellung von elektrischen Lampen und Leuchten;960;5024;1513;88;.;.;-;.;186;.;.;.;.;.;.;.;-
WZ08-275;    Herstellung von Haushaltsgeräten;262;13148;6146;88;.;.;-;.;477;.;.;.;.;.;.;.;-
WZ08-2751;      Herstellung von elektrischen Haushaltsgeräten;219;.;.;.;.;.;-;.;422;.;.;.;.;.;.;.;-
WZ08-2752;      H.v. nicht elektrischen Haushaltsgeräten;43;.;.;.;.;.;-;.;55;.;.;.;.;.;.;.;-
WZ08-279;    H.v. sonst. elektr. Ausrüstungen u. Geräten a.n.g.;1403;24027;5480;134;.;.;-;.;909;.;.;.;.;.;.;.;-
WZ08-28;  Maschinenbau;15910;214465;36435;3640;.;.;-;.;9368;.;.;.;.;.;.;.;-
WZ08-281;    H.v. nicht wirtschaftszweigspezifischen Maschinen;2050;81800;20781;1038;.;.;-;.;4343;.;.;.;.;.;.;.;-
WZ08-2811;      H.v. Verbrenn.mot.u.Turbinen (oh.Straßenfahrz.usw);159;39173;12592;341;.;.;-;.;1933;.;.;.;.;.;.;.;-
WZ08-2812;      H.v. hydraulischen und pneumatischen Komponenten;384;7762;1717;110;.;.;-;.;394;.;.;.;.;.;.;.;-
WZ08-2813;      Herstellung von Pumpen und Kompressoren a.n.g.;459;8878;752;179;.;.;-;.;524;.;.;.;.;.;.;.;-
WZ08-2814;      Herstellung von Armaturen a.n.g.;389;8046;1207;137;.;.;-;.;414;.;.;.;.;.;.;.;-
WZ08-2815;      H.v. Lagern,Getrieben,Zahnrädern,Antriebselementen;659;17941;4514;270;.;.;-;.;1077;.;.;.;.;.;.;.;-
WZ08-282;    H.v.sonst. nicht wirtschaftszweigspezif. Maschinen;5804;58195;8686;1023;.;.;-;.;2079;.;.;.;.;.;.;.;-
WZ08-2821;      Herstellung von Öfen und Brennern;447;2098;157;46;.;.;-;.;100;.;.;.;.;.;.;.;-
WZ08-2822;      Herstellung von Hebezeugen und Fördermitteln;1086;15648;2692;246;.;.;-;.;429;.;.;.;.;.;.;.;-
WZ08-2823;      H.v. Büromaschinen (ohne DV-u.periphere Geräte);80;1019;75;27;.;.;-;.;30;.;.;.;.;.;.;.;-
WZ08-2824;      H.v. handgeführten Werkzeugen mit Motorantrieb;219;4315;2123;15;.;.;-;.;154;.;.;.;.;.;.;.;-
WZ08-2825;      H.v. kälte-u.lufttechn.Erzeugn.,nicht f.d.Haushalt;1365;12408;960;218;.;.;-;.;526;.;.;.;.;.;.;.;-
WZ08-2829;      H.v. sonst. nicht WZ-spezifischen Maschinen a.n.g.;2606;22707;2679;472;.;.;-;.;840;.;.;.;.;.;.;.;-
WZ08-283;    H.v. land- und forstwirtschaftlichen Maschinen;562;11086;1679;196;.;.;-;.;316;.;.;.;.;.;.;.;-
WZ08-284;    Herstellung von Werkzeugmaschinen;2402;16719;1783;321;.;.;-;.;655;.;.;.;.;.;.;.;-
WZ08-2841;      H.v. Werkzeugmaschinen für die Metallbearbeitung;1461;12404;1277;256;.;.;-;.;476;.;.;.;.;.;.;.;-
WZ08-2849;      Herstellung von sonstigen Werkzeugmaschinen;941;4314;506;64;.;.;-;.;179;.;.;.;.;.;.;.;-
WZ08-289;    H.v. Maschinen f.sonst.best.Wirtschaftszweige;5092;46665;3506;1063;.;.;-;.;1974;.;.;.;.;.;.;.;-
WZ08-2891;      H.v. Maschinen f.Metallerzeugung,Walzwerkseinr.usw;159;1451;11;31;.;.;-;.;26;.;.;.;.;.;.;.;-
WZ08-2892;      H.v. Bergwerks-, Bau- und Baustoffmaschinen;345;12497;1490;258;.;.;-;.;653;.;.;.;.;.;.;.;-
WZ08-2893;      H.v. Maschinen f.Nahrungsm.erzg.u.ä.,Tabakverarb.;491;4529;379;80;.;.;-;.;154;.;.;.;.;.;.;.;-
WZ08-2894;      H.v.Masch.f.d.Textil-u.Bekleid.herst.,Lederverarb.;240;3897;413;77;.;.;-;.;157;.;.;.;.;.;.;.;-
WZ08-2895;      H.v. Maschinen f.d.Papiererzeugung u.-verarbeitung;121;1233;39;27;.;.;-;.;26;.;.;.;.;.;.;.;-
WZ08-2896;      H.v. Maschinen f.d.Verarb.v.Kunststoff u.Kautschuk;316;5463;195;172;.;.;-;.;253;.;.;.;.;.;.;.;-
WZ08-2899;      H.v. Masch.f.sonst.best.Wirtschaftszweige a.n.g.;3420;17595;979;418;.;.;-;.;705;.;.;.;.;.;.;.;-
WZ08-29;  Herstellung von Kraftwagen und Kraftwagenteilen;2757;411002;118692;4036;.;.;-;.;17065;.;.;.;.;.;.;.;-
WZ08-291;    Herstellung von Kraftwagen und Kraftwagenmotoren;255;334773;111670;2467;.;.;-;.;13873;.;.;.;.;.;.;.;-
WZ08-292;    Herstellung von Karosserien, Aufbauten u.Anhängern;1332;10390;1066;245;.;.;-;.;261;.;.;.;.;.;.;.;-
WZ08-293;    Herstellung von Teilen und Zubehör für Kraftwagen;1170;65840;5956;1324;.;.;-;.;2931;.;.;.;.;.;.;.;-
WZ08-2931;      H.v. elektr.u.elektron. Ausrüstg. für Kraftwagen;193;10228;1452;99;.;.;-;.;231;.;.;.;.;.;.;.;-
WZ08-2932;      H.v. sonst. Teilen u. sonst. Zubehör f. Kraftwagen;977;55611;4503;1225;.;.;-;.;2700;.;.;.;.;.;.;.;-
WZ08-30;  Sonstiger Fahrzeugbau;1205;35429;793;1316;.;.;-;.;1444;.;.;.;.;.;.;.;-
WZ08-301;    Schiff- und Bootsbau;509;.;.;.;.;.;-;.;357;.;.;.;.;.;.;.;-
WZ08-3011;      Schiffbau (ohne Boots- und Yachtbau);130;.;.;.;.;.;-;.;248;.;.;.;.;.;.;.;-
WZ08-3012;      Boots- und Yachtbau;379;1735;20;54;.;.;-;.;108;.;.;.;.;.;.;.;-
WZ08-302;    Schienenfahrzeugbau;111;5362;472;163;.;.;-;.;153;.;.;.;.;.;.;.;-
WZ08-303;    Luft- und Raumfahrzeugbau;207;21038;173;824;.;.;-;.;866;.;.;.;.;.;.;.;-
WZ08-304;    Herstellung von militärischen Kampffahrzeugen;6;.;.;.;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-309;    Herstellung von Fahrzeugen a.n.g.;372;.;.;.;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-3091;      Herstellung von Krafträdern;64;609;24;13;.;.;-;.;25;.;.;.;.;.;.;.;-
WZ08-3092;      H.v. Fahrrädern sowie von Behindertenfahrzeugen;205;1568;87;18;.;.;-;.;21;.;.;.;.;.;.;.;-
WZ08-3099;      Herstellung von sonstigen Fahrzeugen a.n.g.;103;.;.;.;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-31;  Herstellung von Möbeln;10327;14796;898;259;.;.;-;.;750;.;.;.;.;.;.;.;-
WZ08-3101;      Herstellung von Büro- und Ladenmöbeln;1508;3793;421;76;.;.;-;.;176;.;.;.;.;.;.;.;-
WZ08-3102;      Herstellung von Küchenmöbeln;628;3579;131;30;.;.;-;.;260;.;.;.;.;.;.;.;-
WZ08-3103;      Herstellung von Matratzen;117;594;81;18;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-3109;      Herstellung von sonstigen Möbeln;8074;6829;264;135;.;.;-;.;296;.;.;.;.;.;.;.;-
WZ08-32;  Herstellung von sonstigen Waren;19520;30651;7786;357;.;.;-;.;1885;.;.;.;.;.;.;.;-
WZ08-321;    Herstellung von Münzen, Schmuck u.ä. Erzeugnissen;3373;1121;253;.;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-3211;      Herstellung von Münzen;36;39;1;.;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-3212;      H.v. Schmuck, Gold- und Silberschmiedewaren;3009;1020;239;1;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-3213;      Herstellung von Fantasieschmuck;328;62;13;.;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-322;    Herstellung von Musikinstrumenten;1352;.;.;.;.;.;-;.;25;.;.;.;.;.;.;.;-
WZ08-323;    Herstellung von Sportgeräten;416;.;.;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-324;    Herstellung von Spielwaren;605;2698;663;43;.;.;-;.;505;.;.;.;.;.;.;.;-
WZ08-325;    H.v. med. u. zahnmed. Apparaten und Materialien;11561;23050;6103;260;.;.;-;.;1146;.;.;.;.;.;.;.;-
WZ08-329;    Herstellung von Erzeugnissen a.n.g.;2213;2591;537;44;.;.;-;.;157;.;.;.;.;.;.;.;-
WZ08-3291;      Herstellung von Besen und Bürsten;179;686;134;16;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-3299;      Herstellung von sonstigen Erzeugnissen a.n.g.;2034;1905;403;29;.;.;-;.;120;.;.;.;.;.;.;.;-
WZ08-33;  Reparatur u.Installation von Masch.u.Ausrüstungen;15252;30035;3097;970;.;.;-;.;843;.;.;.;.;.;.;.;-
WZ08-331;    Reparatur v.Metallerzeugn., Masch.u.Ausrüstungen;10582;19218;2053;523;.;.;-;.;588;.;.;.;.;.;.;.;-
WZ08-3311;      Reparatur von Metallerzeugnissen;919;930;26;142;.;.;-;.;40;.;.;.;.;.;.;.;-
WZ08-3312;      Reparatur von Maschinen;6397;5266;1005;84;.;.;-;.;250;.;.;.;.;.;.;.;-
WZ08-3313;      Reparatur von elektronischen und optischen Geräten;497;1435;689;23;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-3314;      Reparatur von elektrischen Ausrüstungen;623;654;94;18;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-3315;      Reparatur u.Instandh. v.Schiffen, Booten u.Yachten;549;802;37;28;.;.;-;.;47;.;.;.;.;.;.;.;-
WZ08-3316;      Reparatur u.Instandh. von Luft- und Raumfahrzeugen;134;8002;163;163;.;.;-;.;148;.;.;.;.;.;.;.;-
WZ08-3317;      Reparatur und Instandhaltung von Fahrzeugen a.n.g.;1039;2014;37;59;.;.;-;.;52;.;.;.;.;.;.;.;-
WZ08-3319;      Reparatur von sonstigen Ausrüstungen;424;116;2;6;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-332;    Installation von Maschinen und Ausrüstungen a.n.g.;4670;10817;1044;447;.;.;-;.;256;.;.;.;.;.;.;.;-
WZ08-D;Energieversorgung;67984;555240;6802;221;.;.;-;.;14899;.;.;.;.;.;.;.;-
WZ08-35;  Energieversorgung;67984;555240;6802;221;.;.;-;.;14899;.;.;.;.;.;.;.;-
WZ08-351;    Elektrizitätsversorgung;62900;466406;6584;201;.;.;-;.;13359;.;.;.;.;.;.;.;-
WZ08-3511;      Elektrizitätserzeugung;60537;183655;1931;69;.;.;-;.;3614;.;.;.;.;.;.;.;-
WZ08-3512;      Elektrizitätsübertragung;362;.;.;.;.;.;-;.;2771;.;.;.;.;.;.;.;-
WZ08-3513;      Elektrizitätsverteilung;1040;.;.;.;.;.;-;.;4857;.;.;.;.;.;.;.;-
WZ08-3514;      Elektrizitätshandel;961;172194;4335;28;.;.;-;.;2118;.;.;.;.;.;.;.;-
WZ08-352;    Gasversorgung;3667;84700;97;13;.;.;-;.;903;.;.;.;.;.;.;.;-
WZ08-3521;      Gaserzeugung;3417;.;.;.;.;.;-;.;63;.;.;.;.;.;.;.;-
WZ08-3522;      Gasverteilung durch Rohrleitungen;120;.;.;.;.;.;-;.;338;.;.;.;.;.;.;.;-
WZ08-3523;      Gashandel durch Rohrleitungen;130;50101;11;6;.;.;-;.;502;.;.;.;.;.;.;.;-
WZ08-353;    Wärme- und Kälteversorgung;1417;4134;121;6;.;.;-;.;637;.;.;.;.;.;.;.;-
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;10395;41009;3884;386;.;.;-;.;8624;.;.;.;.;.;.;.;-
WZ08-36;  Wasserversorgung;2125;6893;79;13;.;.;-;.;2527;.;.;.;.;.;.;.;-
WZ08-37;  Abwasserentsorgung;2226;4429;27;10;.;.;-;.;3463;.;.;.;.;.;.;.;-
WZ08-38;  Sammlung, Abfallbeseitigung, Rückgewinnung;5673;29089;3770;342;.;.;-;.;2586;.;.;.;.;.;.;.;-
WZ08-381;    Sammlung von Abfällen;1843;9743;689;145;.;.;-;.;1367;.;.;.;.;.;.;.;-
WZ08-3811;      Sammlung nicht gefährlicher Abfälle;1773;9528;680;143;.;.;-;.;1337;.;.;.;.;.;.;.;-
WZ08-3812;      Sammlung gefährlicher Abfälle;70;216;9;1;.;.;-;.;30;.;.;.;.;.;.;.;-
WZ08-382;    Abfallbehandlung und -beseitigung;1688;6588;112;118;.;.;-;.;751;.;.;.;.;.;.;.;-
